stage,f1,th,rec,prec,auc,ap,tp,fp,fn,tn,f1_mean,f1_std,auc_mean,auc_std
A0_RawStat,0.3321,0.5950,0.3571,0.3103,0.7406,0.2779,1291,2869,2324,35888,0.3322,0.0138,0.7409,0.0065
A1_EnhancedFeatures,0.5202,0.5950,0.7801,0.3901,0.9189,0.5494,2820,4408,795,34349,0.5203,0.0108,0.9190,0.0040
A2_ExpertA_GBDT,0.5811,0.2200,0.7867,0.4607,0.9305,0.6770,2844,3329,771,35428,0.5812,0.0042,0.9306,0.0047
A2_LGB,0.4505,0.2100,0.4846,0.4209,0.8562,0.4207,1752,2411,1863,36346,,,,
A2_XGB,0.6320,0.3800,0.6376,0.6265,0.9364,0.6882,2305,1374,1310,37383,,,,
A2_Cat,0.6054,0.6200,0.6346,0.5787,0.9291,0.6485,2294,1670,1321,37087,,,,
A3_LGB_Full,0.4400,0.2150,0.4766,0.4086,0.8539,0.4154,1723,2494,1892,36263,,,,
A3_XGB_Full,0.6236,0.4450,0.6456,0.6029,0.9334,0.6748,2334,1537,1281,37220,,,,
A3_RF_Full,0.4642,0.5250,0.4838,0.4461,0.8648,0.4475,1749,2172,1866,36585,,,,
A3_ET_Full,0.4240,0.6100,0.4498,0.4010,0.8353,0.3914,1626,2429,1989,36328,,,,
A3_HistGB_Full,0.5878,0.6400,0.5970,0.5789,0.9232,0.6303,2158,1570,1457,37187,,,,
A3_LGB_L2,0.6201,0.4100,0.6741,0.5741,0.9330,0.6299,2437,1808,1178,36949,,,,
A3_XGB_L2,0.6085,0.7150,0.6382,0.5814,0.9298,0.6605,2307,1661,1308,37096,,,,
A3_RF_L2,0.5813,0.5750,0.6617,0.5183,0.9201,0.5895,2392,2223,1223,36534,,,,
A3_SelfOOF_Stacking,0.6213,0.3100,0.6523,0.5931,0.9349,0.6698,2358,1618,1257,37139,0.6212,0.0076,0.9352,0.0044
A4_OOFOnly_LR,0.8532,0.4200,0.8299,0.8780,0.9829,0.9198,3000,417,615,38340,,,,
A4_ExternalOOF,0.8515,0.7000,0.8254,0.8792,0.9857,0.9242,2984,410,631,38347,0.8515,0.0100,0.9857,0.0018
A5_LR-C1.0,0.8608,0.4200,0.8418,0.8808,0.9846,0.9259,3043,412,572,38345,,,,
A5_LR-C0.5,0.8589,0.3800,0.8490,0.8692,0.9847,0.9256,3069,462,546,38295,,,,
A5_XGB-d3,0.8567,0.3800,0.8481,0.8654,0.9870,0.9288,3066,477,549,38280,,,,
A5_XGB-d4,0.8560,0.3500,0.8550,0.8569,0.9868,0.9285,3091,516,524,38241,,,,
A5_LGB-d3,0.8569,0.4950,0.8180,0.8996,0.9871,0.9292,2957,330,658,38427,,,,
A5_FullPipeline,0.8595,0.4400,0.8373,0.8828,0.9869,0.9298,3027,402,588,38355,0.8595,0.0095,0.9871,0.0017
