stage,fold,f1,th,rec,prec,auc,ap,tp,fp,fn,tn
A0_RawStat,0,0.3302,0.595,0.343,0.3184,0.7388,0.2811,248,531,475,7221
A0_RawStat,1,0.357,0.595,0.3831,0.3341,0.7531,0.2871,277,552,446,7200
A0_RawStat,2,0.3145,0.595,0.3458,0.2884,0.7338,0.2728,250,617,473,7134
A0_RawStat,3,0.3282,0.595,0.3513,0.3079,0.7403,0.2825,254,571,469,7180
A0_RawStat,4,0.331,0.595,0.3624,0.3047,0.7385,0.2726,262,598,461,7153
A1_EnhancedFeatures,0,0.5366,0.595,0.8008,0.4035,0.9254,0.5704,579,856,144,6896
A1_EnhancedFeatures,1,0.5263,0.595,0.7621,0.4019,0.9134,0.534,551,820,172,6932
A1_EnhancedFeatures,2,0.5043,0.595,0.7718,0.3745,0.9206,0.5396,558,932,165,6819
A1_EnhancedFeatures,3,0.5182,0.595,0.7967,0.384,0.9183,0.5595,576,924,147,6827
A1_EnhancedFeatures,4,0.516,0.595,0.769,0.3883,0.9173,0.554,556,876,167,6875
A2_ExpertA_GBDT,0,0.5878,0.22,0.7967,0.4656,0.939,0.6917,576,661,147,7091
A2_ExpertA_GBDT,1,0.5829,0.22,0.7759,0.4667,0.9273,0.6671,561,641,162,7111
A2_ExpertA_GBDT,2,0.5771,0.22,0.7787,0.4585,0.926,0.6643,563,665,160,7086
A2_ExpertA_GBDT,3,0.5761,0.22,0.8008,0.4499,0.9321,0.6916,579,708,144,7043
A2_ExpertA_GBDT,4,0.5819,0.22,0.7815,0.4635,0.9286,0.6733,565,654,158,7097
A3_SelfOOF_Stacking,0,0.6346,0.31,0.6667,0.6055,0.9414,0.6828,482,314,241,7438
A3_SelfOOF_Stacking,1,0.6121,0.31,0.6418,0.5851,0.9324,0.6629,464,329,259,7423
A3_SelfOOF_Stacking,2,0.6182,0.31,0.6404,0.5974,0.9288,0.6507,463,312,260,7439
A3_SelfOOF_Stacking,3,0.6236,0.31,0.668,0.5847,0.9385,0.6902,483,343,240,7408
A3_SelfOOF_Stacking,4,0.6176,0.31,0.6445,0.5929,0.9347,0.674,466,320,257,7431
A4_ExternalOOF,0,0.8422,0.7,0.834,0.8505,0.9854,0.9183,603,106,120,7646
A4_ExternalOOF,1,0.8538,0.7,0.8036,0.9107,0.9837,0.9244,581,57,142,7695
A4_ExternalOOF,2,0.8422,0.7,0.8119,0.8748,0.9851,0.9201,587,84,136,7667
A4_ExternalOOF,3,0.8498,0.7,0.8257,0.8754,0.9852,0.921,597,85,126,7666
A4_ExternalOOF,4,0.8694,0.7,0.852,0.8876,0.9891,0.9391,616,78,107,7673
A5_FullPipeline,0,0.8435,0.44,0.8423,0.8447,0.9867,0.9239,609,112,114,7640
A5_FullPipeline,1,0.8601,0.44,0.816,0.9091,0.9861,0.9306,590,59,133,7693
A5_FullPipeline,2,0.8567,0.44,0.8271,0.8886,0.9849,0.9221,598,75,125,7676
A5_FullPipeline,3,0.8657,0.44,0.8423,0.8904,0.9879,0.9318,609,75,114,7676
A5_FullPipeline,4,0.8716,0.44,0.8589,0.8846,0.99,0.9442,621,81,102,7670
