file,key,f1,recall,precision,auc,threshold
final_blend_best_oof.npz,oof_final_blend_best,0.8666,0.8409,0.8939,0.9874,0.56
gated_rescue_refined_oof.npz,oof_gated_rescue_refined,0.8653,0.8362,0.8965,0.9873,0.535
gated_rescue_blend_oof.npz,oof_gated_rescue_blend,0.865,0.8385,0.8933,0.9873,0.535
hillclimb_best_oof.npz,oof_hillclimb,0.8637,0.829,0.9014,0.9871,0.52
mega_meta_all_oofs_oof.npz,oof_mega_meta_all_oofs,0.8632,0.8288,0.9005,0.9852,0.708
meta_raw_only_oof.npz,oof_meta_raw_only,0.8616,0.8332,0.8919,0.9831,0.733
feature_rich_meta_oof.npz,oof_feature_rich_meta,0.8583,0.8174,0.9034,0.9863,0.792
nn_meta_oof.npz,oof_nn_meta,0.8521,0.839,0.8656,0.9666,0.609
meta_final_cleaned_oof.npz,oof_meta_final_cleaned,0.8517,0.8553,0.8481,0.9734,0.451
amst_3ch_synthetic_mixed_ls_v3_oof.npz,oof_amst_3ch_synthetic_mixed_ls_v3,0.8511,0.836,0.8669,0.9694,0.832
amst_3ch_synthetic_mixed_ls_fast_oof.npz,oof_amst_3ch_synthetic_mixed_ls_fast,0.8498,0.8227,0.8788,0.9659,0.812
amst_3ch_synthetic_mixed_fast_oof.npz,oof_amst_3ch_synthetic_mixed_fast,0.8497,0.8288,0.8717,0.9628,0.792
meta_cleaned_oof.npz,oof_meta_cleaned,0.8493,0.834,0.8651,0.9813,0.95
informer_oof.npz,oof_informer,0.8483,0.8036,0.8983,0.9815,0.361
amst_3ch_recall10_oof.npz,oof_amst_3ch_recall10,0.848,0.8196,0.8784,0.9682,0.812
strong_gbdt_prior_oof.npz,oof_strong_gbdt_prior,0.8469,0.8268,0.8679,0.9846,0.663
informer_3ch_strong_prior_oof.npz,oof_informer_3ch_strong_prior,0.8468,0.8172,0.8786,0.9705,0.352
supcon_raw_3ch_oof.npz,oof_supcon_raw_3ch,0.8456,0.8158,0.8777,0.9731,0.619
amst_3ch_strong_prior_oof.npz,oof_amst_3ch_strong_prior,0.8456,0.8307,0.861,0.972,0.743
amst_strong_prior_oof.npz,oof_amst_strong_prior,0.8452,0.8086,0.8852,0.9681,0.792
amst_3ch_synthetic_fast_oof.npz,oof_amst_3ch_synthetic_fast,0.8443,0.8288,0.8604,0.9713,0.891
patch_transformer_raw_3ch_oof.npz,oof_patch_transformer_raw_3ch,0.844,0.8191,0.8704,0.9654,0.619
informer_strong_prior_oof.npz,oof_informer_strong_prior,0.8397,0.8124,0.8689,0.9712,0.347
patch_transformer_cleaned_oof.npz,oof_patch_transformer_cleaned,0.8386,0.8448,0.8324,0.9701,0.861
patch_transformer_raw_3ch_recall_oof.npz,oof_patch_transformer_raw_3ch_recall,0.8373,0.8467,0.828,0.97,0.777
informer_large_strong_prior_oof.npz,oof_informer_large_strong_prior,0.8321,0.857,0.8087,0.9756,0.228
patch_transformer_raw_3ch_synthetic_sp_oof.npz,oof_patch_transformer_raw_3ch_synthetic_sp,0.7813,0.8586,0.7167,0.9718,0.639
informer_3ch_synthetic_sp_oof.npz,oof_informer_3ch_synthetic_sp,0.7697,0.8302,0.7174,0.9692,0.5
mega_gbdt_cleaned_oof.npz,oof_mega_gbdt_cleaned,0.6349,0.6418,0.6282,0.9316,0.866
hard_fn_gbdt_oof.npz,oof_hard_fn_gbdt,0.6259,0.6526,0.6013,0.9248,0.272
fast_gbdt_recall_oof.npz,oof_fast_gbdt_recall,0.6229,0.66,0.5897,0.9314,0.446
fn_targeted_gbdt_oof.npz,oof_fn_targeted_gbdt,0.6198,0.6454,0.5962,0.9261,0.307
informer_fast_oof.npz,oof_informer_fast,0.5868,0.6069,0.568,0.9055,0.208
confident_weighted_lgb_oof.npz,oof_confident_weighted_lgb,0.5492,0.4775,0.6464,0.9128,0.777
hard_case_weighted_lgb_oof.npz,oof_hard_case_weighted_lgb,0.5407,0.6235,0.4772,0.9003,0.332
usage_stratified_lgb_oof.npz,oof_usage_stratified_lgb,0.5396,0.5491,0.5305,0.875,0.248
focal_loss_lgb_oof.npz,oof_focal_loss_lgb,0.5101,0.3746,0.7993,0.9183,0.01
expert_d_gbdt_oof.npz,oof_proba,0.4414,0.5604,0.3641,0.8511,0.203
meta_error_predictor_oof.npz,oof_meta_error_predictor,0.3395,0.3635,0.3185,0.6929,0.134
pattern_gbdt_oof.npz,oof_pattern_gbdt,0.3392,0.4285,0.2807,0.7618,0.139
low_miss_gbdt_oof.npz,oof_low_miss_gbdt,0.2427,0.8387,0.1419,0.6695,0.163
fn_rescue_gbdt_oof.npz,oof_fn_rescue_gbdt,0.2289,0.2667,0.2005,0.6111,0.064
hillclimb_fn_predictor_oof.npz,oof_hillclimb_fn_predictor,0.2289,0.3203,0.178,0.6197,0.04
meta_fn_predictor_oof.npz,oof_meta_fn_predictor,0.2221,0.2907,0.1796,0.6145,0.104
