Model,Category,F1,AUC,AP,Recall,Precision,Threshold
Final Blend Best,Ensemble,0.8666,0.9874,0.9290,0.8409,0.8939,"[0.45, 0.564, 0.564, 0.55, 0.564]"
Gated Rescue Refined,Ensemble,0.8653,0.9873,0.9305,0.8362,0.8965,"[0.5, 0.535, 0.6, 0.535, 0.535]"
Gated Rescue Blend,Ensemble,0.8650,0.9873,0.9305,0.8385,0.8933,0.5346464646464646
HillClimb Best,Ensemble,0.8637,0.9871,0.9303,0.8290,0.9014,0.5197979797979798
Meta Raw Only,Meta,0.8616,0.9831,0.9241,0.8332,0.8919,0.7326262626262626
Mega Meta (46 OOFs),Meta,0.8614,0.9857,0.9182,0.8349,0.8897,0.693030303030303
Feature Rich Meta,Meta,0.8583,0.9863,0.9248,0.8174,0.9034,0.792020202020202
SupCon + SCE,DL,0.8553,0.9764,0.9076,0.8263,0.8864,0.6534343434343434
Co-teaching,DL,0.8541,0.9546,0.8646,0.8467,0.8615,0.495050505050505
NN Meta,Meta,0.8521,0.9666,0.8689,0.8390,0.8656,0.6088888888888889
AMST v3 (synthetic + LS),DL,0.8511,0.9694,0.8688,0.8360,0.8669,0.8316161616161616
PatchTST Recall,DL,0.8373,0.9700,0.8602,0.8467,0.8280,0.7771717171717172
Informer Large,DL,0.8321,0.9756,0.8793,0.8570,0.8087,0.22777777777777777
